game_id,city_id,city_name,FLAG,role,message,tabooWords,message_id,user_name,mes_time
9947829,32,Bangkok,P,describer,cheap,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2356,candrade,20.05.2016 15:42:48
9947829,32,Bangkok,,describer,poor,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2362,candrade,20.05.2016 15:43:17
9947829,32,Bangkok,,guesser,Glasgow,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2363,DavidB,20.05.2016 15:43:25
9947829,32,Bangkok,,describer,tourists,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2364,candrade,20.05.2016 15:43:25
9947829,32,Bangkok,,describer,religion,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2366,candrade,20.05.2016 15:43:37
9947829,32,Bangkok,,describer,water markets,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2369,candrade,20.05.2016 15:43:47
9947829,32,Bangkok,,guesser,Dehli,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2372,DavidB,20.05.2016 15:44:02
9947829,32,Bangkok,,describer,no,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2375,candrade,20.05.2016 15:44:06
9947829,32,Bangkok,,describer,eastern,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2378,candrade,20.05.2016 15:44:19
9947829,32,Bangkok,,guesser,Jerusalem,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2383,DavidB,20.05.2016 15:44:33
9947829,32,Bangkok,,describer,haggle,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2386,candrade,20.05.2016 15:44:43
9947829,32,Bangkok,,describer,no,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2388,candrade,20.05.2016 15:44:46
9947829,32,Bangkok,,describer,film,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2390,candrade,20.05.2016 15:45:06
9947829,32,Bangkok,,guesser,Ho Chi Minh,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2391,DavidB,20.05.2016 15:45:08
9947829,32,Bangkok,,describer,full moon,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2393,candrade,20.05.2016 15:45:11
9947829,32,Bangkok,,describer,party,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2395,candrade,20.05.2016 15:45:15
9947829,32,Bangkok,,describer,no,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2396,candrade,20.05.2016 15:45:25
9947829,32,Bangkok,,guesser,Bangkok,temple; capital; food; river; third world; prostitution; canoe; smell; transportation hub; street market; bargaining,2398,DavidB,20.05.2016 15:45:34
9868794,13,Mumbai (formerly Bombai),P,describer,commonwealth city,tropical climate; islands; festivals; bollywood; film; cow; curry; seasport,85,Alcorn,18.05.2016 12:23:33
9868794,13,Mumbai (formerly Bombai),,guesser,Vancouver,tropical climate; islands; festivals; bollywood; film; cow; curry; seasport,86,Nicolson,18.05.2016 12:24:01
9868794,13,Mumbai (formerly Bombai),,describer,no. east,tropical climate; islands; festivals; bollywood; film; cow; curry; seasport,87,Alcorn,18.05.2016 12:24:56
9868794,13,Mumbai (formerly Bombai),,guesser,London,tropical climate; islands; festivals; bollywood; film; cow; curry; seasport,88,Nicolson,18.05.2016 12:26:10
9868794,13,Mumbai (formerly Bombai),,describer,no. ex-empire,tropical climate; islands; festivals; bollywood; film; cow; curry; seasport,89,Alcorn,18.05.2016 12:26:43
9868794,13,Mumbai (formerly Bombai),,guesser,Bombay,tropical climate; islands; festivals; bollywood; film; cow; curry; seasport,90,Nicolson,18.05.2016 12:27:21
9786826,102,Granada,P,describer,production company,"place; mountains; historic; garden; pomegranate; skiing, elevation; conquest",1392,ClaireE,20.05.2016 11:37:56
9786826,102,Granada,,guesser,Los Angeles,"place; mountains; historic; garden; pomegranate; skiing, elevation; conquest",1398,kbell3,20.05.2016 11:38:12
9786826,102,Granada,,describer,TV,"place; mountains; historic; garden; pomegranate; skiing, elevation; conquest",1399,ClaireE,20.05.2016 11:38:14
9786826,102,Granada,,describer,no,"place; mountains; historic; garden; pomegranate; skiing, elevation; conquest",1400,ClaireE,20.05.2016 11:38:19
9786826,102,Granada,,guesser,Granada,"place; mountains; historic; garden; pomegranate; skiing, elevation; conquest",1401,kbell3,20.05.2016 11:38:27
9593830,78,Havana,P,describer,embargo,capital; cigar; architecture; tropical; revolution; sea; island; history; communism; rum; beaches; music; old cars; dictatorship,1537,egharris,20.05.2016 11:47:38
9593830,78,Havana,,describer,embargo lifted,capital; cigar; architecture; tropical; revolution; sea; island; history; communism; rum; beaches; music; old cars; dictatorship,1539,egharris,20.05.2016 11:47:46
9593830,78,Havana,,guesser,Havana,capital; cigar; architecture; tropical; revolution; sea; island; history; communism; rum; beaches; music; old cars; dictatorship,1545,bbovenzi,20.05.2016 11:48:14
9557658,40,Lisbon,P,describer,sun,fishing; sardines; earthquake; football; history; oil; museum; olives; port; hills,233,nschneid,18.05.2016 15:23:54
9557658,40,Lisbon,,guesser,Madrid,fishing; sardines; earthquake; football; history; oil; museum; olives; port; hills,238,Routledge,18.05.2016 15:24:08
9557658,40,Lisbon,,describer,no. nasal vowels,fishing; sardines; earthquake; football; history: oil; museum; olives; port; hills,251,nschneid,18.05.2016 15:25:43
9557658,40,Lisbon,,guesser,Saint Tropez,fishing; sardines; earthquake; football; history: oil; museum; olives; port; hills,259,Routledge,18.05.2016 15:26:32
9557658,40,Lisbon,,describer,no. peninsula,fishing; sardines; earthquake; football; history: oil; museum; olives; port; hills,264,nschneid,18.05.2016 15:27:01
9557658,40,Lisbon,,guesser,Barcelona,fishing; sardines; earthquake; football; history: oil; museum; olives; port; hills,274,Routledge,18.05.2016 15:28:10
9557658,40,Lisbon,,describer,no. ocean,fishing; sardines; earthquake; football; history: oil; museum; olives; port; hills,284,nschneid,18.05.2016 15:30:02
9557658,40,Lisbon,,guesser,Lisbon,fishing; sardines; earthquake; football; history: oil; museum; olives; port; hills,289,Routledge,18.05.2016 15:30:59
9475366,25,Barcelona,P,describer,sun,flamenco; architecture; art; gardens; football; waterfront; dance; cathedral; culture; independent; rich; autonomous,550,nschneid,18.05.2016 15:52:16
9475366,25,Barcelona,,guesser,Lisbon,flamenco; architecture; art; gardens; football; waterfront; dance; cathedral; culture; independent; rich; autonomous,553,Gillott,18.05.2016 15:52:27
9475366,25,Barcelona,,describer,no. sea,flamenco; architecture; art; gardens; football; waterfront; dance; cathedral; culture; independent; rich; autonomous,555,nschneid,18.05.2016 15:52:45
9475366,25,Barcelona,,guesser,Barcelona,flamenco; architecture; art; gardens; football; waterfront; dance; cathedral; culture; independent; rich; autonomous,557,Gillott,18.05.2016 15:52:55
9378663,74,Oslo,P,describer,vikings,capital; cold; reindeer; fjord; snow; skiing; language; peace prize; lake,1343,kbell3,20.05.2016 11:32:59
9378663,74,Oslo,,guesser,Oslo,capital; cold; reindeer; fjord; snow; skiing; language; peace prize; lake,1347,ClaireE,20.05.2016 11:33:15
8983658,22,Berlin,P,describer,divided,capital; wall; beer; politics; refugees; sausage; rebuilt; financial center; sports; cold war; history; watchtower; graffiti,1152,ClaireE,20.05.2016 11:10:50
8983658,22,Berlin,,guesser,Berlin,capital; wall; beer; politics; refugees; sausage; rebuilt; financial center; sports; cold war; history; watchtower; graffiti,1154,iwantsunshine,20.05.2016 11:10:56
8853786,190,Osaka,P,describer,takoyaki,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1488,egharris,20.05.2016 11:44:02
8853786,190,Osaka,,describer,octopus balls,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1493,egharris,20.05.2016 11:44:20
8853786,190,Osaka,,describer,okonomiyaki,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1498,egharris,20.05.2016 11:44:45
8853786,190,Osaka,,guesser,Tokyo,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1501,ClaireE,20.05.2016 11:45:12
8853786,190,Osaka,,describer,no,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1503,egharris,20.05.2016 11:45:22
8853786,190,Osaka,,describer,big,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1505,egharris,20.05.2016 11:45:45
8853786,190,Osaka,,describer,different accent,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1506,egharris,20.05.2016 11:45:50
8853786,190,Osaka,,guesser,Kyoto,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1507,ClaireE,20.05.2016 11:46:03
8853786,190,Osaka,,describer,no,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1509,egharris,20.05.2016 11:46:09
8853786,190,Osaka,,guesser,Osaka,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1511,ClaireE,20.05.2016 11:46:20
8688227,190,Osaka,P,describer,okonomiyaki,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1393,iwantsunshine,20.05.2016 11:37:58
8688227,190,Osaka,,guesser,Tokyo,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1396,egharris,20.05.2016 11:38:05
8688227,190,Osaka,,describer,no. big,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1402,iwantsunshine,20.05.2016 11:38:31
8688227,190,Osaka,,guesser,Osaka,tofu; mountains; ramen; culture; udon; baseball; vibrant; bustling,1406,egharris,20.05.2016 11:38:37
8320660,89,Melbourne,P,describer,dingos,kangaroo; urban; koala; tourism; government; museum; tennis,1553,egharris,20.05.2016 11:48:51
8320660,89,Melbourne,,guesser,Perth,kangaroo; urban; koala; tourism; government; museum; tennis,1558,alisonwillgress,20.05.2016 11:49:35
8320660,89,Melbourne,,describer,island,kangaroo; urban; koala; tourism; government; museum; tennis,1559,egharris,20.05.2016 11:49:37
8320660,89,Melbourne,,describer,no,kangaroo; urban; koala; tourism; government; museum; tennis,1560,egharris,20.05.2016 11:49:40
8320660,89,Melbourne,,guesser,Melbourne,kangaroo; urban; koala; tourism; government; museum; tennis,1569,alisonwillgress,20.05.2016 11:50:38
8163718,59,Kuala Lumpur,P,describer,money,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1567,ClaireE,20.05.2016 11:50:27
8163718,59,Kuala Lumpur,,guesser,Las Vegas,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1568,bbovenzi,20.05.2016 11:50:37
8163718,59,Kuala Lumpur,,describer,no,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1572,ClaireE,20.05.2016 11:50:52
8163718,59,Kuala Lumpur,,guesser,New York,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1574,bbovenzi,20.05.2016 11:51:07
8163718,59,Kuala Lumpur,,describer,expats,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1580,ClaireE,20.05.2016 11:51:44
8163718,59,Kuala Lumpur,,guesser,London,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1584,bbovenzi,20.05.2016 11:52:09
8163718,59,Kuala Lumpur,,describer,no. high buildings,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1585,ClaireE,20.05.2016 11:52:25
8163718,59,Kuala Lumpur,,describer,hot,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1586,ClaireE,20.05.2016 11:52:32
8163718,59,Kuala Lumpur,,guesser,Dubai,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1588,bbovenzi,20.05.2016 11:52:37
8163718,59,Kuala Lumpur,,describer,no,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1589,ClaireE,20.05.2016 11:52:45
8163718,59,Kuala Lumpur,,describer,hotels,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1594,ClaireE,20.05.2016 11:53:28
8163718,59,Kuala Lumpur,,guesser,Abu Dhabi,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1596,bbovenzi,20.05.2016 11:53:42
8163718,59,Kuala Lumpur,,describer,no,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1598,ClaireE,20.05.2016 11:53:51
8163718,59,Kuala Lumpur,,guesser,Doha,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1601,bbovenzi,20.05.2016 11:54:21
8163718,59,Kuala Lumpur,,describer,no. British Empire,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1604,ClaireE,20.05.2016 11:54:38
8163718,59,Kuala Lumpur,,guesser,Hong Kong,capital; tropical; textiles; skybridge; pollution; gold; skyscrapers; market; spicy food; shopping; traffic,1609,bbovenzi,20.05.2016 11:54:54
